Model,Target,Date,Forecast
Exponential Smoothing,CPI_MOM,2025-01-01,100.56809290425673
Exponential Smoothing,CPI_MOM,2025-02-01,101.15616174561882
Exponential Smoothing,CPI_MOM,2025-03-01,100.25350234275493
Exponential Smoothing,CPI_MOM,2025-04-01,100.17714092562916
Exponential Smoothing,CPI_MOM,2025-05-01,100.39189497773908
Exponential Smoothing,CPI_MOM,2025-06-01,100.29699513696492
Exponential Smoothing,CPI_MOM,2025-07-01,100.09872838062584
Exponential Smoothing,CPI_MOM,2025-08-01,100.13945303385351
Exponential Smoothing,CPI_MOM,2025-09-01,100.24046446620784
Exponential Smoothing,CPI_MOM,2025-10-01,100.02922746855882
Exponential Smoothing,CPI_MOM,2025-11-01,100.0838596322204
Exponential Smoothing,CPI_MOM,2025-12-01,100.19233153086863
Exponential Smoothing,CPI_YOY,2025-01-01,103.64039829467312
Exponential Smoothing,CPI_YOY,2025-02-01,103.69382613395229
Exponential Smoothing,CPI_YOY,2025-03-01,103.84349585038561
Exponential Smoothing,CPI_YOY,2025-04-01,103.95549093567273
Exponential Smoothing,CPI_YOY,2025-05-01,104.0619389220896
Exponential Smoothing,CPI_YOY,2025-06-01,104.19856187916511
Exponential Smoothing,CPI_YOY,2025-07-01,104.35749512340477
Exponential Smoothing,CPI_YOY,2025-08-01,104.52411244106437
Exponential Smoothing,CPI_YOY,2025-09-01,104.66232482947026
Exponential Smoothing,CPI_YOY,2025-10-01,104.76714550409814
Exponential Smoothing,CPI_YOY,2025-11-01,104.85712586611443
Exponential Smoothing,CPI_YOY,2025-12-01,104.92978992037325
ARIMA,CPI_MOM,2025-01-01,100.23961293450628
ARIMA,CPI_MOM,2025-02-01,100.23905094496884
ARIMA,CPI_MOM,2025-03-01,100.23848895858217
ARIMA,CPI_MOM,2025-04-01,100.23792697534626
ARIMA,CPI_MOM,2025-05-01,100.23736499526107
ARIMA,CPI_MOM,2025-06-01,100.23680301832661
ARIMA,CPI_MOM,2025-07-01,100.23624104454285
ARIMA,CPI_MOM,2025-08-01,100.23567907390978
ARIMA,CPI_MOM,2025-09-01,100.23511710642738
ARIMA,CPI_MOM,2025-10-01,100.23455514209563
ARIMA,CPI_MOM,2025-11-01,100.23399318091451
ARIMA,CPI_MOM,2025-12-01,100.23343122288401
ARIMA,CPI_YOY,2025-01-01,103.68085985596623
ARIMA,CPI_YOY,2025-02-01,103.74269422879085
ARIMA,CPI_YOY,2025-03-01,103.7847754055873
ARIMA,CPI_YOY,2025-04-01,103.81341361051575
ARIMA,CPI_YOY,2025-05-01,103.83290324564386
ARIMA,CPI_YOY,2025-06-01,103.84616685201779
ARIMA,CPI_YOY,2025-07-01,103.85519335522763
ARIMA,CPI_YOY,2025-08-01,103.86133631196957
ARIMA,CPI_YOY,2025-09-01,103.86551688075198
ARIMA,CPI_YOY,2025-10-01,103.86836195293444
ARIMA,CPI_YOY,2025-11-01,103.87029815734695
ARIMA,CPI_YOY,2025-12-01,103.87161583482107
SARIMA,CPI_MOM,2025-01-01,100.41218051771627
SARIMA,CPI_MOM,2025-02-01,100.71826274741615
SARIMA,CPI_MOM,2025-03-01,99.93200229112477
SARIMA,CPI_MOM,2025-04-01,99.86020521269606
SARIMA,CPI_MOM,2025-05-01,100.17343097814268
SARIMA,CPI_MOM,2025-06-01,100.2901038802587
SARIMA,CPI_MOM,2025-07-01,100.26740228619477
SARIMA,CPI_MOM,2025-08-01,100.31793124760658
SARIMA,CPI_MOM,2025-09-01,100.36802878754084
SARIMA,CPI_MOM,2025-10-01,100.13884281333728
SARIMA,CPI_MOM,2025-11-01,100.2211606652207
SARIMA,CPI_MOM,2025-12-01,100.1406101311283
SARIMA,CPI_YOY,2025-01-01,103.41306398584472
SARIMA,CPI_YOY,2025-02-01,103.76349092805808
SARIMA,CPI_YOY,2025-03-01,104.01254090400447
SARIMA,CPI_YOY,2025-04-01,104.24388615711797
SARIMA,CPI_YOY,2025-05-01,104.44781655470659
SARIMA,CPI_YOY,2025-06-01,104.55991094319982
SARIMA,CPI_YOY,2025-07-01,104.46803101304671
SARIMA,CPI_YOY,2025-08-01,103.86960785225678
SARIMA,CPI_YOY,2025-09-01,103.08480556387478
SARIMA,CPI_YOY,2025-10-01,103.1686368585344
SARIMA,CPI_YOY,2025-11-01,103.2242888742536
SARIMA,CPI_YOY,2025-12-01,103.23712631333811
SARIMAX,CPI_MOM,2025-01-01,100.37966727847879
SARIMAX,CPI_MOM,2025-02-01,100.66521833045431
SARIMAX,CPI_MOM,2025-03-01,100.14608019825214
SARIMAX,CPI_MOM,2025-04-01,99.96794827261638
SARIMAX,CPI_MOM,2025-05-01,100.11173818475103
SARIMAX,CPI_MOM,2025-06-01,100.32063031670367
SARIMAX,CPI_MOM,2025-07-01,100.19739058117841
SARIMAX,CPI_MOM,2025-08-01,100.16184230558908
SARIMAX,CPI_MOM,2025-09-01,100.04977177821708
SARIMAX,CPI_MOM,2025-10-01,99.88225139761899
SARIMAX,CPI_MOM,2025-11-01,100.03630340936779
SARIMAX,CPI_MOM,2025-12-01,100.02057939055453
SARIMAX,CPI_YOY,2025-01-01,103.37924986230372
SARIMAX,CPI_YOY,2025-02-01,103.71078485378388
SARIMAX,CPI_YOY,2025-03-01,103.96725895950425
SARIMAX,CPI_YOY,2025-04-01,104.18389350607406
SARIMAX,CPI_YOY,2025-05-01,104.39930490794201
SARIMAX,CPI_YOY,2025-06-01,104.48355892674243
SARIMAX,CPI_YOY,2025-07-01,104.3875718792207
SARIMAX,CPI_YOY,2025-08-01,103.82486844647468
SARIMAX,CPI_YOY,2025-09-01,103.05161185305205
SARIMAX,CPI_YOY,2025-10-01,103.14852219370856
SARIMAX,CPI_YOY,2025-11-01,103.26076088585434
SARIMAX,CPI_YOY,2025-12-01,103.26040555127322
Prophet,CPI_MOM,2025-01-01,100.65016710147763
Prophet,CPI_MOM,2025-02-01,101.30857364434681
Prophet,CPI_MOM,2025-03-01,100.16188714095296
Prophet,CPI_MOM,2025-04-01,99.86005297224614
Prophet,CPI_MOM,2025-05-01,100.033480858001
Prophet,CPI_MOM,2025-06-01,99.99166079648182
Prophet,CPI_MOM,2025-07-01,99.72998227393208
Prophet,CPI_MOM,2025-08-01,99.92025968862974
Prophet,CPI_MOM,2025-09-01,100.01135715126298
Prophet,CPI_MOM,2025-10-01,99.89494951971871
Prophet,CPI_MOM,2025-11-01,99.90091939796696
Prophet,CPI_MOM,2025-12-01,100.00994974894692
Prophet,CPI_YOY,2025-01-01,103.50810923166453
Prophet,CPI_YOY,2025-02-01,103.50771527453685
Prophet,CPI_YOY,2025-03-01,104.10557574887507
Prophet,CPI_YOY,2025-04-01,103.38505097277006
Prophet,CPI_YOY,2025-05-01,102.40901943831965
Prophet,CPI_YOY,2025-06-01,102.56979013870456
Prophet,CPI_YOY,2025-07-01,102.27785730546897
Prophet,CPI_YOY,2025-08-01,101.99480354722662
Prophet,CPI_YOY,2025-09-01,101.97539848288669
Prophet,CPI_YOY,2025-10-01,102.67049530480838
Prophet,CPI_YOY,2025-11-01,102.52698670010219
Prophet,CPI_YOY,2025-12-01,102.24509601960287
